Rank,Name,Symbol,Price (USD),24h % Change,Market Cap (USD)
1,Bitcoin,BTC,"$103,040.65",3.54%,$2.05T
2,Ethereum,ETH,"$2,295.63",5.04%,$277.39B
3,Tether,USDT,$1.00,0.04%,$156.07B
4,XRP,XRP,$2.04,3.82%,$120.71B
5,BNB,BNB,$629.76,3.37%,$88.72B
6,Solana,SOL,$138.74,6.41%,$73.7B
7,USDC,USDC,$1.00,0.03%,$61.54B
8,TRON,TRX,$0.2726,3.21%,$25.85B
9,Dogecoin,DOGE,$0.1570,5.21%,$23.52B
10,Cardano,ADA,$0.5515,3.69%,$19.5B
11,Hyperliquid,HYPE,$37.27,10.16%,$12.45B
12,Bitcoin Cash,BCH,$453.51,0.69%,$9.02B
13,Sui,SUI,$2.58,8.02%,$8.77B
14,UNUS SED LEO,LEO,$9.07,1.09%,$8.37B
15,Chainlink,LINK,$12.06,5.73%,$8.18B
16,Stellar,XLM,$0.2347,5.01%,$7.33B
17,Avalanche,AVAX,$17.19,6.77%,$7.26B
18,Toncoin,TON,$2.83,4.77%,$7B
19,Shiba Inu,SHIB,$0.00001116,7.56%,$6.58B
20,Litecoin,LTC,$82.48,4.62%,$6.27B
21,Hedera,HBAR,$0.1410,8.49%,$5.96B
22,Ethena USDe,USDe,$1.00,0.03%,$5.6B
23,Monero,XMR,$300.34,0.98%,$5.54B
24,Dai,DAI,$1.00,0.05%,$5.37B
25,Polkadot,DOT,$3.27,3.10%,$5.21B
26,Bitget Token,BGB,$4.05,1.80%,$4.74B
27,Uniswap,UNI,$6.40,4.55%,$4.03B
28,Pepe,PEPE,$0.059294,7.15%,$3.91B
29,Pi,PI,$0.5152,6.82%,$3.86B
30,Aave,AAVE,$237.35,8.03%,$3.6B
31,OKB,OKB,$50.93,3.23%,$3.06B
32,Bittensor,TAO,$321.16,7.11%,$2.85B
33,Aptos,APT,$4.08,6.02%,$2.63B
34,Internet Computer,ICP,$4.71,5.33%,$2.52B
35,Cronos,CRO,$0.08090,1.70%,$2.52B
36,NEAR Protocol,NEAR,$1.99,7.92%,$2.45B
37,Ethereum Classic,ETC,$15.80,5.75%,$2.41B
38,World Liberty Financial USD,USD1,$1.00,0.02%,$2.21B
39,Ondo,ONDO,$0.6920,7.28%,$2.19B
40,GateToken,GT,$16.42,5.35%,$2.02B
41,Mantle,MNT,$0.5904,1.53%,$1.99B
42,POL (prev. MATIC),POL,$0.1744,3.39%,$1.82B
43,Kaspa,KAS,$0.06848,11.25%,$1.8B
44,OFFICIAL TRUMP,TRUMP,$8.88,4.16%,$1.78B
45,VeChain,VET,$0.02007,6.62%,$1.73B
46,Sky,SKY,$0.07913,12.14%,$1.69B
47,Cosmos,ATOM,$3.91,6.38%,$1.53B
48,Render,RENDER,$2.90,7.57%,$1.5B
49,Ethena,ENA,$0.2470,7.42%,$1.5B
50,First Digital USD,FDUSD,$0.9995,0.20%,$1.5B
51,Artificial Superintelligence Alliance,FET,$0.6153,9.19%,$1.47B
52,Filecoin,FIL,$2.16,4.87%,$1.46B
53,Algorand,ALGO,$0.1679,7.68%,$1.45B
54,Worldcoin,WLD,$0.8551,7.71%,$1.41B
55,Arbitrum,ARB,$0.2843,8.70%,$1.41B
56,KuCoin Token,KCS,$10.86,0.96%,$1.36B
57,Sei,SEI,$0.2135,9.33%,$1.19B
58,Kaia,KAIA,$0.1926,11.57%,$1.17B
59,Quant,QNT,$92.26,4.18%,$1.11B
60,Flare,FLR,$0.01634,4.50%,$1.1B
61,Jupiter,JUP,$0.3690,10.04%,$1.09B
62,SPX6900,SPX,$1.15,13.62%,$1.08B
63,Bonk,BONK,$0.00001294,8.72%,$1.04B
64,Injective,INJ,$10.08,9.35%,$1.01B
65,Four,FORM,$2.62,11.06%,$1B
66,Celestia,TIA,$1.46,6.99%,$999.73M
67,Fartcoin,FARTCOIN,$0.9837,14.53%,$983.72M
68,Virtuals Protocol,VIRTUAL,$1.49,14.37%,$980.35M
69,Story,IP,$3.28,18.83%,$953.97M
70,PayPal USD,PYUSD,$1.00,0.03%,$932.58M
71,XDC Network,XDC,$0.05659,1.72%,$918.07M
72,Optimism,OP,$0.5162,8.74%,$904.6M
73,Stacks,STX,$0.5884,8.69%,$901.08M
74,PAX Gold,PAXG,"$3,403.25",1.28%,$883.08M
75,Sonic,S,$0.2950,17.10%,$849.79M
76,Tether Gold,XAUt,"$3,389.84",0.96%,$835.68M
77,Vaulta,A,$0.4923,6.10%,$774.74M
78,Nexo,NEXO,$1.17,7.93%,$762.18M
79,The Graph,GRT,$0.07643,6.30%,$754.77M
80,Curve DAO Token,CRV,$0.5476,6.01%,$742.52M
81,Immutable,IMX,$0.3943,11.56%,$735.93M
82,dogwifhat,WIF,$0.7340,11.52%,$733.22M
83,Jito,JTO,$2.06,5.05%,$703.06M
84,PancakeSwap,CAKE,$2.11,6.49%,$678.69M
85,Zcash,ZEC,$40.03,6.80%,$668.83M
86,Aerodrome Finance,AERO,$0.8001,7.85%,$672.13M
87,DeXe,DEXE,$7.83,1.32%,$656.05M
88,AB,AB,$0.01014,0.88%,$653.79M
89,FLOKI,FLOKI,$0.00006713,8.56%,$646.16M
90,Ethereum Name Service,ENS,$17.66,5.47%,$644.45M
91,Theta Network,THETA,$0.6273,7.24%,$627.31M
92,The Sandbox,SAND,$0.2429,7.06%,$619.14M
93,Lido DAO,LDO,$0.6671,4.27%,$598.38M
94,Gala,GALA,$0.01324,9.92%,$596.08M
95,Bitcoin SV,BSV,$29.91,2.52%,$594.89M
96,IOTA,IOTA,$0.1531,6.73%,$588.2M
97,JasmyCoin,JASMY,$0.01169,9.67%,$578.02M
98,BitTorrent [New],BTT,$0.065776,3.54%,$569.59M
99,Pudgy Penguins,PENGU,$0.008914,11.62%,$560.36M
100,LayerZero,ZRO,$1.64,7.40%,$553.99M
101,Pendle,PENDLE,$3.32,4.21%,$541.96M
102,Tezos,XTZ,$0.5100,4.78%,$534.71M
103,Walrus,WAL,$0.3918,4.20%,$528.3M
104,Pyth Network,PYTH,$0.09030,7.13%,$519.23M
105,Raydium,RAY,$1.93,7.32%,$518.42M
106,Core,CORE,$0.5046,4.09%,$506.69M
107,Maple Finance,SYRUP,$0.4517,11.65%,$503.02M
108,Flow,FLOW,$0.3159,5.53%,$502.42M
109,TrueUSD,TUSD,$0.9981,0.09%,$493.6M
110,Decentraland,MANA,$0.2495,7.70%,$491.64M
111,THORChain,RUNE,$1.29,5.83%,$456.35M
112,Kava,KAVA,$0.4170,3.08%,$451.56M
113,Onyxcoin,XCN,$0.01343,4.43%,$450.4M
114,ApeCoin,APE,$0.5824,5.67%,$438.35M
115,Compound,COMP,$45.98,3.23%,$427.06M
116,Movement,MOVE,$0.1628,40.86%,$423.44M
117,USDD,USDD,$1.00,0.07%,$415.1M
118,Helium,HNT,$2.22,1.50%,$408.73M
119,APENFT,NFT,$0.064000,0.38%,$400.01M
120,DeepBook Protocol,DEEP,$0.1233,12.47%,$400.21M
121,Morpho,MORPHO,$1.23,9.24%,$379.95M
122,Brett (Based),BRETT,$0.03795,8.10%,$376.18M
123,Neo,NEO,$5.27,6.73%,$371.98M
124,MultiversX,EGLD,$12.82,8.09%,$363.84M
125,Starknet,STRK,$0.1076,8.56%,$360.66M
126,eCash,XEC,$0.00001807,3.39%,$359.43M
127,Axie Infinity,AXS,$2.15,8.06%,$352.39M
128,dYdX,DYDX,$0.4666,8.19%,$348.12M
129,Reserve Rights,RSR,$0.005968,10.06%,$345.62M
130,AIOZ Network,AIOZ,$0.2911,10.44%,$344.92M
131,JUST,JST,$0.03469,7.44%,$343.49M
132,Axelar,AXL,$0.3446,5.05%,$340.79M
133,Mog Coin,MOG,$0.068665,20.11%,$338.45M
134,Conflux,CFX,$0.06585,4.08%,$335.29M
135,ether.fi,ETHFI,$0.8877,7.51%,$332.45M
136,Arweave,AR,$5.03,8.23%,$330.84M
137,Zebec Network,ZBCN,$0.003923,14.21%,$331.82M
138,EigenLayer,EIGEN,$1.06,7.16%,$329.93M
139,Chiliz,CHZ,$0.03374,6.60%,$326.62M
140,SuperVerse,SUPER,$0.5408,12.34%,$325.03M
141,KAITO,KAITO,$1.33,8.15%,$322.91M
142,Sun [New],SUN,$0.01663,0.01%,$320.46M
143,Aethir,ATH,$0.03014,1.34%,$298.26M
144,Terra Classic,LUNC,$0.00005385,4.27%,$294.45M
145,Dog (Bitcoin),DOG,$0.002934,7.13%,$293.48M
146,ZKsync,ZK,$0.04149,9.27%,$292.81M
147,Trust Wallet Token,TWT,$0.6865,3.17%,$286.04M
148,Grass,GRASS,$1.15,3.72%,$281.71M
149,Ronin,RON,$0.4251,4.56%,$278.16M
150,Gnosis,GNO,$104.39,4.53%,$275.47M
151,Popcat (SOL),POPCAT,$0.2799,13.92%,$274.39M
152,Amp,AMP,$0.003230,4.70%,$272.13M
153,Wormhole,W,$0.05758,7.43%,$267.06M
154,Creditcoin,CTC,$0.5687,4.94%,$258.44M
155,Akash Network,AKT,$1.02,9.02%,$255.35M
156,FTX Token,FTT,$0.7750,6.87%,$254.9M
157,Cheems (cheems.pet),CHEEMS,$0.051327,1.38%,$248.93M
158,1inch Network,1INCH,$0.1736,7.37%,$241.66M
159,Convex Finance,CVX,$2.43,5.72%,$238.41M
160,Decred,DCR,$14.05,5.56%,$237.09M
161,Beam,BEAM,$0.004769,7.74%,$235.94M
162,Livepeer,LPT,$5.66,4.27%,$236.29M
163,Dash,DASH,$18.96,5.07%,$233.48M
164,Ravencoin,RVN,$0.01510,4.26%,$230.97M
165,Turbo,TURBO,$0.003317,10.47%,$228.93M
166,Safe,SAFE,$0.3841,7.78%,$228.03M
167,Kusama,KSM,$13.22,6.50%,$220.57M
168,cat in a dogs world,MEW,$0.002458,8.24%,$218.58M
169,Theta Fuel,TFUEL,$0.03079,4.28%,$214.97M
170,Golem,GLM,$0.2152,6.57%,$215.24M
171,SafePal,SFP,$0.4313,3.59%,$215.68M
172,MX Token,MX,$2.26,4.16%,$213.83M
173,Peanut the Squirrel,PNUT,$0.2070,9.86%,$207.01M
174,Frax (prev. FXS),FRAX,$2.28,6.31%,$207.26M
175,MANTRA,OM,$0.2102,4.21%,$204.35M
176,IoTeX,IOTX,$0.02159,4.36%,$203.84M
177,Berachain,BERA,$1.69,9.79%,$203.36M
178,Zilliqa,ZIL,$0.01041,7.68%,$203.27M
179,Qtum,QTUM,$1.91,8.16%,$202.71M
180,Mina,MINA,$0.1617,6.75%,$200.27M
181,EURC,EURC,$1.15,0.04%,$199.75M
182,Moca Network,MOCA,$0.06627,6.08%,$197.94M
183,Threshold,T,$0.01799,3.43%,$182.27M
